,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Second_Topic,Third_Topic
10,149,my account balance for taxes owing was unavailable,Q4,1/5/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Male,Manitoba,Some high school,18 to 34,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,Prefer not to say,Desktop or laptop computer,6.0,0.35420000553131104,"information, payment, pay, look, wait, tell, get, balance, owe, show","['account', 'balance', 'taxis', 'owe', 'unavailable']",5.0,0.0
11,156,The system was down so I was unable to proceed with the required banking changes that I wished to make and will have to wait 3 days.,Q4,1/5/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,British Columbia,College/vocational/technical school,55 to 64,English,Retired,"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,6.0,0.35850000381469727,"information, payment, pay, look, wait, tell, get, balance, owe, show","['system', 'unable', 'proceed', 'require', 'banking', 'change', 'wish', 'wait', 'day']",6.0,10.0
12,169,the system maintenance is going on could not get information,Q4,1/5/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,No,Female,Ontario,Post-graduate degree,35 to 49,English,Working part-time (less than 35 hours per week),"Under $20,000",No,No,Prefer not to say,Desktop or laptop computer,1.0,0.42910000681877136,"change, try, date, online, month, document, send, submit, credit, file","['system', 'maintenance', 'go', 'information']",3.0,1.0
13,178,Reports filed 9 months ago are missing,Q4,1/5/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,Prefer not to say,Male,Ontario,Post-graduate degree,35 to 49,English,Self-employed,"$120,000 and over",No,No,Yes,Desktop or laptop computer,1.0,0.42500001192092896,"change, try, date, online, month, document, send, submit, credit, file","['report', 'file', 'months_ago', 'miss']",6.0,8.0
14,187,The EI benefits  page didnt work,Q4,1/5/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,No,Male,Alberta,High school graduate,18 to 34,Other,"Unemployed, but looking for work","$20,000 to under $40,000",No,No,No,Tablet,1.0,0.42669999599456787,"change, try, date, online, month, document, send, submit, credit, file","['employment_insurance', 'benefit', 'page', 'work']",3.0,6.0
15,189,Couldn't submit new income number yesterday or today,Q4,1/6/2018,RRSP and TFSA,Once every 2 to 3 months,Very dissatisfied,,No,Male,Alberta,College/vocational/technical school,55 to 64,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,1.0,0.8319000005722046,"change, try, date, online, month, document, send, submit, credit, file","['submit', 'new', 'income', 'number', 'yesterday_today']",3.0,0.0
16,209,I have been trying to change my marital status for months. It was under review. I have sent in extra documentation. Still nothing is changed. I can’t change it online now because it’s been reviewed.,Q4,1/6/2018,Your personal information,Once per month or more,Very dissatisfied,,Yes,Female,Saskatchewan,University graduate,35 to 49,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Smartphone,1.0,0.932699978351593,"change, try, date, online, month, document, send, submit, credit, file","['try', 'change', 'marital_status', 'month', 'review', 'send', 'extra', 'documentation', 'change', 'change', 'online', 'review']",8.0,3.0
17,272,The questions marks for sum of the Dates and the 2014 Credits,Q4,1/6/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Female,Alberta,Some high school,55 to 64,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,1.0,0.6291000247001648,"change, try, date, online, month, document, send, submit, credit, file","['question', 'mark', 'sum', 'date', 'credit']",0.0,8.0
18,319,Canot access information needed - blank page,Q4,1/6/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Female,British Columbia,University graduate,65 or older,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.35440000891685486,"find, tax, receive, return, mail, say, need, log, year, process","['canon', 'access', 'information', 'need', 'blank', 'page']",10.0,1.0
19,345,I did not have access to the information I was looking for.,Q4,1/7/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,Prefer not to say,Male,Quebec,College/vocational/technical school,65 or older,English,Retired,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,6.0,0.5313000082969666,"information, payment, pay, look, wait, tell, get, balance, owe, show","['access', 'information', 'look']",0.0,1.0
20,363,System maintenance prevented fulfillment of all purposes for visit.,Q4,1/7/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,7.0,0.38260000944137573,"pension_plan, today, have, end, etc, detail, slip, allow, value, prevent","['system', 'maintenance', 'prevent', 'fulfilment', 'purpose', 'visit']",10.0,8.0
21,393,I found out that my claim was reasessed and checked my email as soon as I was notified.  I know owe but also have an interest charge that I am questioning.,Q4,1/7/2018,Online mail,Once or twice per year,Somewhat dissatisfied,,Yes,Prefer not to say,Nova Scotia,Prefer not to say,Prefer not to say,English,"Unemployed, but looking for work",Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,0.0,0.34619998931884766,"update, able, email, check, answer, ask, know, understand, message, like","['find', 'claim', 'reassess', 'check', 'email', 'soon', 'notify', 'know', 'owe', 'interest', 'charge', 'question']",3.0,0.0
22,419,Pages not loading any content. Blank white pages instead of information.,Q4,1/7/2018,RRSP and TFSA,Once or twice per year,Very dissatisfied,,No,Male,New Brunswick,College/vocational/technical school,18 to 34,English,Self-employed,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,4.0,0.3885999917984009,"find, tax, receive, return, mail, say, need, log, year, process","['page', 'load', 'content', 'blank', 'white', 'page', 'instead', 'information']",8.0,5.0
23,485,I understand that i owe money due to overpayment on E.I. i just find it unreasonable that they have to snatch up what little money i receive since being disabled !fix the broken welfare system,Q4,1/8/2018,Other,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,New Brunswick,College/vocational/technical school,50 to 54,English,Other,"Under $20,000",No,Yes,Prefer not to say,Desktop or laptop computer,0.0,0.4927999973297119,"update, able, email, check, answer, ask, know, understand, message, like","['understand', 'owe_money', 'overpayment', 'find', 'unreasonable', 'snatch', 'little', 'money', 'receive', 'disabled', 'fix', 'broken', 'welfare', 'system']",3.0,10.0
24,486,Was looking for TFSA contribution room. Information provided is not current. TFASA contrubution made in is March 2017 was not reflected in the contribution room.,Q4,1/8/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,Post-graduate degree,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,Yes,Desktop or laptop computer,0.0,0.6366000175476074,"update, able, email, check, answer, ask, know, understand, message, like","['look', 'tfsa_contribution_room', 'information', 'provide', 'current', 'fast', 'contribution', 'march', 'reflect', 'contribution_room']",8.0,0.0
25,487,Nothing is updated even after 6 months of return of payments. Still it shows balances that I cleared 6 months ago.,Q4,1/8/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,Yes,Female,Manitoba,High school graduate,18 to 34,Other,Working part-time (less than 35 hours per week),"Under $20,000",No,No,Yes,Desktop or laptop computer,6.0,0.3472000062465668,"information, payment, pay, look, wait, tell, get, balance, owe, show","['update', 'month', 'return', 'payment', 'show', 'balance', 'clear', 'months_ago']",0.0,5.0
26,509,the fact that i could access my cpp info from my account for individuals was not made clear anywhere i looked,Q4,1/8/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,College/vocational/technical school,50 to 54,English,Not in the workforce,Prefer not to say,No,No,No,Desktop or laptop computer,6.0,0.3472000062465668,"information, payment, pay, look, wait, tell, get, balance, owe, show","['fact', 'access', 'pension_plan', 'information', 'account', 'individual', 'clear', 'look']",8.0,1.0
27,545,Account statement blocked.  Have been complaining about this for months and the issue has been escalated to the Minister's office.  Edward Gessner from Ministerial Correspondence is trying to resolve.,Q4,1/8/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Male,Ontario,University graduate,55 to 64,English,Self-employed,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,1.0,0.296099990606308,"change, try, date, online, month, document, send, submit, credit, file","['account', 'statement', 'block', 'complaint', 'month', 'issue', 'escalate', 'minister', 'office', 'edward', 'less', 'ministerial', 'correspondence', 'try', 'resolve']",6.0,0.0
28,549,I was unable to find the documents I need,Q4,1/8/2018,Other,Once per month or more,Very dissatisfied,,Yes,Female,British Columbia,College/vocational/technical school,50 to 54,English,Working full-time (35+ hours per week),Prefer not to say,No,No,Yes,Desktop or laptop computer,4.0,0.625,"find, tax, receive, return, mail, say, need, log, year, process","['unable', 'find', 'document', 'need']",0.0,1.0
29,585,No info regarding carbon tax rebate,Q4,1/8/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Female,Alberta,High school graduate,18 to 34,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Tablet,4.0,0.5346999764442444,"find, tax, receive, return, mail, say, need, log, year, process","['information', 'carbon', 'tax', 'rebate']",0.0,1.0
30,588,Taking to long to update disability tax credit,Q4,1/9/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Alberta,High school graduate,35 to 49,English,Not in the workforce,"$40,000 to under $60,000",No,Yes,No,Smartphone,1.0,0.35420000553131104,"change, try, date, online, month, document, send, submit, credit, file","['taking_long', 'update', 'disability', 'tax', 'credit']",5.0,1.0
31,592,Unable to see my account contributions over the year.,Q4,1/9/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,No,Male,British Columbia,Post-graduate degree,65 or older,English,Working part-time (less than 35 hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,4.0,0.5321999788284302,"find, tax, receive, return, mail, say, need, log, year, process","['unable', 'account', 'contributions', 'year']",1.0,2.0
32,633,Lack of information as to payment status,Q4,1/9/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Male,Manitoba,University graduate,50 to 54,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",Prefer not to say,Prefer not to say,Prefer not to say,Smartphone,6.0,0.609000027179718,"information, payment, pay, look, wait, tell, get, balance, owe, show","['lack', 'information', 'payment', 'status']",0.0,1.0
33,638,It is very perplexing that I can not also access the accounts of the corporation(s) for which I have authority,Q4,1/9/2018,Other,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,University graduate,65 or older,English,Self-employed,"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.7731999754905701,"account, access, instalment, error, statement, view, user, address, easy, phone","['perplex', 'access', 'account', 'corporation', 'authority']",1.0,9.0
34,646,"I have requested a change in my return about a month ago,I have not seen the changes yet.I have more changes to make and cannot until this done.It is taken a very long time.",Q4,1/9/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Female,Ontario,High school graduate,50 to 54,English,Not in the workforce,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,1.0,0.4659000039100647,"change, try, date, online, month, document, send, submit, credit, file","['requested', 'change', 'return', 'month_ago', 'see', 'change', 'change', 'take', 'long', 'time']",8.0,0.0
35,652,I want to know how autofill for income tax forms works and what I have to do to use autofill.  I found nothing about autofill at all.,Q4,1/9/2018,Tax returns,Once or twice per year,Very dissatisfied,,Prefer not to say,Female,Ontario,University graduate,Prefer not to say,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.3409000039100647,"find, tax, receive, return, mail, say, need, log, year, process","['want', 'know', 'tutorial', 'income', 'tax', 'form', 'work', 'use', 'tutorial', 'find', 'tutorial']",8.0,5.0
36,691,tecknowledge today allows the gov. & bus. to have T4A T4AP slips etc. ready for citizens as of January 8 why the delay,Q4,1/9/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,College/vocational/technical school,65 or older,English,Retired,"$20,000 to under $40,000",No,No,Yes,Desktop or laptop computer,7.0,0.8235999941825867,"pension_plan, today, have, end, etc, detail, slip, allow, value, prevent","['acknowledge', 'today', 'allow', 'gov', 'bus', 'tap', 'slip', 'etc', 'ready', 'citizens', 'january', 'delay']",3.0,8.0
37,708,"TFSA contribution room is not up to date, easy for tax payer to make mistakes. Website is slow. Information is poorly organized, almost missed what I was looking for.",Q4,1/9/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Saskatchewan,Some university,18 to 34,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,6.0,0.29440000653266907,"information, payment, pay, look, wait, tell, get, balance, owe, show","['tfsa_contribution_room', 'date', 'easy', 'tax', 'payer', 'mistake', 'website', 'slow', 'information', 'poorly', 'organize', 'miss', 'look']",8.0,6.0
38,743,"my gst and hst for 2009,2010 and 2011 were NOT refunded back to me still as of todays date",Q4,1/10/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Male,Ontario,Prefer not to say,55 to 64,English,Other,"Under $20,000",No,Yes,Yes,Desktop or laptop computer,7.0,0.3384999930858612,"pension_plan, today, have, end, etc, detail, slip, allow, value, prevent","['gst_hst', '2009,2010', 'refunded', 'today', 'date']",3.0,2.0
39,748,On here it shows no updates since Dec 7 but when I called 18002676999 it says I should have already received my refunds  .....,Q4,1/10/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,College/vocational/technical school,50 to 54,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Smartphone,4.0,0.6901000142097473,"find, tax, receive, return, mail, say, need, log, year, process","['shows', 'update', 'dec', 'called', 'say', 'receive', 'refund']",0.0,10.0
40,755,There is no way that we could send a secure email/Message to CRA via My account.,Q4,1/10/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Prefer not to say,Male,New Brunswick,University graduate,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,No,No,Prefer not to say,Desktop or laptop computer,0.0,0.4016000032424927,"update, able, email, check, answer, ask, know, understand, message, like","['way', 'send', 'secure', 'email', 'message', 'account']",5.0,3.0
41,774,you said you cannot calculate previous world income but there is no instruction to verify my previous world income.,Q4,1/10/2018,Online mail,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,Ontario,University graduate,18 to 34,Other,Working full-time (35+ hours per week),"Under $20,000",No,No,No,Desktop or laptop computer,1.0,0.3813999891281128,"change, try, date, online, month, document, send, submit, credit, file","['say', 'calculate', 'previous', 'world', 'income', 'instruction', 'verify', 'previous', 'world', 'income']",10.0,0.0
42,783,I received a deposit into my banking account identified as provincial government payment but cannot find an explanation for the deposit.,Q4,1/10/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Alberta,University graduate,35 to 49,English,Prefer not to say,Prefer not to say,No,Yes,Prefer not to say,Desktop or laptop computer,4.0,0.4681999981403351,"find, tax, receive, return, mail, say, need, log, year, process","['receive', 'deposit', 'banking', 'account', 'identify', 'provincial', 'government', 'payment', 'find', 'explanation', 'deposit']",3.0,0.0
43,784,Was trying to change line 318; unable to do so since system says you don't have form 2201.  Form 2201 under my dependent sent and notice of determination received in November.,Q4,1/10/2018,Tax returns,Once or twice per year,Very dissatisfied,,Yes,Female,Quebec,University graduate,55 to 64,Other,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.5080999732017517,"find, tax, receive, return, mail, say, need, log, year, process","['try', 'change', 'line', 'unable', 'system', 'say', 'form', 'form', 'dependent', 'send', 'notice', 'determination', 'receive', 'november']",6.0,3.0
44,791,I wanted to see what I owed and see my payments but it would not let me in. I have an error code ACC-010. When I called CRA I wasn't allowed to talk to anyone,Q4,1/10/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,Yes,Female,Alberta,Prefer not to say,55 to 64,English,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,6.0,0.3472000062465668,"information, payment, pay, look, wait, tell, get, balance, owe, show","['want', 'owe', 'payment', 'let', 'error_code', 'call', 'allow', 'talk']",0.0,10.0
45,792,Not enough up to date information about stage of re-assessment reviews.I had to phone in to get info and was told to wait another 3 to 4 weeks and the person I spoke to didn't have the all documents,Q4,1/10/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,6.0,0.4377000033855438,"information, payment, pay, look, wait, tell, get, balance, owe, show","['date', 'information', 'stage', 'assessment', 'review', 'phone', 'information', 'tell', 'wait', 'week', 'person', 'speak', 'document']",10.0,6.0
46,795,Unable to set up a payment for an amount owing.  Completed bank info yesterday wouldn't let me pay then.Thought it may need a day to set up.Logged in today & still unable to make payment.,Q4,1/10/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,Yes,Female,British Columbia,Some university,55 to 64,English,Retired,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,6.0,0.4512999951839447,"information, payment, pay, look, wait, tell, get, balance, owe, show","['unable', 'set', 'payment', 'owing', 'complete', 'bank', 'information', 'yesterday', 'let', 'pay', 'thought', 'need', 'day', 'set', 'log', 'today', 'unable', 'payment']",5.0,8.0
47,804,It’s been over 3 maths since I filed 2016 return without any finalization to date and no explanation of where process is at,Q4,1/10/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,Prince Edward Island,University graduate,50 to 54,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.5263000130653381,"find, tax, receive, return, mail, say, need, log, year, process","['math', 'file', 'return', 'finalization', 'date', 'explanation', 'process']",3.0,7.0
48,825,Could not access 2018  periodic Installments,Q4,1/10/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Quebec,University graduate,65 or older,English,Retired,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,5.0,0.7325000166893005,"account, access, instalment, error, statement, view, user, address, easy, phone","['access', 'periodic', 'instalment']",1.0,2.0
49,828,I have been sending all the information I can get about my children and I to prove I have had them since the day they were born. I have and have yet to receive any benefits and or credits for them.,Q4,1/10/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Prefer not to say,Female,Alberta,Some high school,18 to 34,English,A student attending school full-time,Prefer not to say,Yes,No,No,Prefer not to say,6.0,0.30959999561309814,"information, payment, pay, look, wait, tell, get, balance, owe, show","['send', 'information', 'child', 'prove', 'day', 'bear', 'receive', 'benefits_credit']",5.0,1.0
50,835,Unable to get the information need. Very frustrated as unable to get through on the phone either,Q4,1/10/2018,Other,Once or twice per year,Very dissatisfied,,Yes,Female,British Columbia,College/vocational/technical school,35 to 49,English,Other,Prefer not to say,Prefer not to say,No,No,Desktop or laptop computer,4.0,0.4465999901294708,"find, tax, receive, return, mail, say, need, log, year, process","['unable', 'information', 'need', 'frustrate', 'unable', 'phone']",0.0,1.0
51,863,"ACC 003 what is that code mean to find out, i have to call, so why i have my account bcoz i dont have time to call.",Q4,1/10/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,British Columbia,College/vocational/technical school,18 to 34,Other,Working full-time (35+ hours per week),"Under $20,000",No,No,No,Desktop or laptop computer,3.0,0.454800009727478,"time, available, reassessment, login, never, option, service, take, long, taxis","['acc', 'code', 'mean', 'find', 'account', 'coz', 'time']",6.0,3.0
52,867,Couldnt find option to change password and couldnt print PDF of NOA from NOA page.,Q4,1/10/2018,Tax returns,Once or twice per year,Very dissatisfied,,No,Prefer not to say,Ontario,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),Prefer not to say,No,No,Yes,Desktop or laptop computer,4.0,0.3481999933719635,"find, tax, receive, return, mail, say, need, log, year, process","['find', 'option', 'change_password', 'print', 'pdf', 'notice_assessment', 'notice_assessment', 'page']",5.0,3.0
53,873,I have no indication as to why I was reassessed for $600 more than ten months after I submit my return. No reason is given and that is an unreasonable amount of time to determine a reassessment.,Q4,1/11/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,British Columbia,Post-graduate degree,18 to 34,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,3.0,0.41830000281333923,"time, available, reassessment, login, never, option, service, take, long, taxis","['indication', 'pass', 'month', 'submit', 'return', 'reason_given', 'unreasonable', 'time', 'determine', 'reassessment']",3.0,5.0
54,905,Unable to print 2016 Tax assessment,Q4,1/11/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Prefer not to say,Prefer not to say,Nova Scotia,University graduate,50 to 54,English,Self-employed,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,4.0,0.824999988079071,"find, tax, receive, return, mail, say, need, log, year, process","['unable', 'print', 'tax', 'assessment']",10.0,0.0
55,927,Account Balance page didn't work got an ACC-03 error,Q4,1/11/2018,Accounts and payments,Once per month or more,Very dissatisfied,,Yes,Male,British Columbia,University graduate,55 to 64,English,Self-employed,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.3905999958515167,"account, access, instalment, error, statement, view, user, address, easy, phone","['account', 'balance', 'page', 'work', 'get', 'access', 'error']",8.0,5.0
56,929,"Too slow to access. When I finally got to VIEW TAX RETURN, nothing appeared. I waited 3 minutes and signed off to try again.",Q4,1/11/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,College/vocational/technical school,55 to 64,English,Retired,"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.3172999918460846,"account, access, instalment, error, statement, view, user, address, easy, phone","['slow', 'access', 'finally', 'get', 'view', 'tax', 'return', 'appear', 'wait', 'minute', 'sign', 'try']",8.0,6.0
57,949,Wasn't able to get the update I was looking for.,Q4,1/11/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,Ontario,University graduate,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,0.0,0.5313000082969666,"update, able, email, check, answer, ask, know, understand, message, like","['able', 'update', 'look']",5.0,1.0
